method,source_id,source_pointer,comparison_group,denominator,requests,endpoint,strict_sun,meta_sun,strict_percent,meta_percent,joint_10_50_point_met,evidence,note,reconstructed,novel_unique,hull_unknown,strict_stable,meta_stable,per_repeat,verified_strict_sun,verified_meta_sun
Grounding control,grounding_fixed1000,/cells[arm=control],grounding_fixed1000,all_requested,1000,tau800,89,487,8.9,48.7,False,machine_terminal,Counterfactual Plan grounding versus matched teacher-CE control.,994,890,,109,589,,,
Grounding candidate,grounding_fixed1000,/cells[arm=candidate],grounding_fixed1000,all_requested,1000,tau800,86,467,8.6,46.7,False,machine_terminal,Counterfactual Plan grounding versus matched teacher-CE control.,990,885,,106,569,,,
Sufficient DLM total epoch2,sufficient_dlm1000,/pooled[epoch=2],sufficient_same_plan1000,all_requested,1000,tau800,81,489,8.1,48.9,False,machine_terminal,"raw1000 in the filename denotes requested attempts, not an unrefined endpoint; records explicitly include refined outputs.",985,883,,102,587,,,
Sufficient DLM total epoch3,sufficient_dlm1000,/pooled[epoch=3],sufficient_same_plan1000,all_requested,1000,tau800,79,477,7.9,47.7,False,machine_terminal,"raw1000 in the filename denotes requested attempts, not an unrefined endpoint; records explicitly include refined outputs.",992,886,,100,578,,,
SGTC L7 base,sgtc_l7_official1000,/cells[arm=base],sgtc_l7_seed18_1000,all_requested,1000,tau800,60,412,6.0,41.2,False,machine_terminal,,998,922,,81,486,,,
SGTC L7 g0_all,sgtc_l7_official1000,/cells[arm=g0_all],sgtc_l7_seed18_1000,all_requested,1000,tau800,55,421,5.5,42.1,False,machine_terminal,,1000,933,,78,486,,,
SGTC L7 g1_strict,sgtc_l7_official1000,/cells[arm=g1_strict],sgtc_l7_seed18_1000,all_requested,1000,tau800,53,417,5.3,41.7,False,machine_terminal,,1000,930,,73,485,,,
L6 full_axis,condition_schedule_l6,/pooled_repeat_sum[arm=full_axis],L6_fixed_two_seed_panel,reported_two_seed_256_sum,512,tau800,48,230,9.375,44.921875,False,machine_terminal,,505,449,,61,281,,,
L6 full_joint,condition_schedule_l6,/pooled_repeat_sum[arm=full_joint],L6_fixed_two_seed_panel,reported_two_seed_256_sum,512,tau800,29,146,5.6640625,28.515625,False,machine_terminal,,319,284,,38,179,,,
L6 hard_axis,condition_schedule_l6,/pooled_repeat_sum[arm=hard_axis],L6_fixed_two_seed_panel,reported_two_seed_256_sum,512,tau800,47,230,9.1796875,44.921875,False,machine_terminal,,512,456,,61,282,,,
L6 hard_joint,condition_schedule_l6,/pooled_repeat_sum[arm=hard_joint],L6_fixed_two_seed_panel,reported_two_seed_256_sum,512,tau800,35,181,6.8359375,35.3515625,False,machine_terminal,,417,381,,43,214,,,
L6 full_axis raw,refiner_conversion_l6,"/pooled_repeat_sum[source_arm=full_axis,stage=raw]",L6_fixed_two_seed_panel,reported_two_seed_256_sum,512,raw_before_model494,10,66,1.953125,12.890625,False,machine_terminal,,505,505,,,,,,
L6 hard_axis raw,refiner_conversion_l6,"/pooled_repeat_sum[source_arm=hard_axis,stage=raw]",L6_fixed_two_seed_panel,reported_two_seed_256_sum,512,raw_before_model494,2,7,0.390625,1.3671875,False,machine_terminal,,512,511,,,,,,
L6 full_axis tau200,tau_calibration_l6,/pooled_repeat_sum[tau=200],L6_fixed_two_seed_panel,reported_two_seed_256_sum,512,tau200,29,171,5.6640625,33.3984375,False,machine_terminal,,505,488,,,,,,
L6 full_axis tau500,tau_calibration_l6,/pooled_repeat_sum[tau=500],L6_fixed_two_seed_panel,reported_two_seed_256_sum,512,tau500,39,222,7.6171875,43.359375,False,machine_terminal,,505,465,,,,,,
Reference,september7_completed_snapshot,/development[method=Reference] / raw,september_fixed_development256_commonR,all_requested,256,raw,6,55,2.34375,21.484375,False,machine_terminal,,255,253,,7,56,,1,26
Reference,september7_completed_snapshot,/development[method=Reference] / tau800,september_fixed_development256_commonR,all_requested,256,tau800,19,121,7.421875,47.265625,False,machine_terminal,,255,221,,26,152,,10,49
K4,september7_completed_snapshot,/development[method=K4] / raw,september_fixed_development256_commonR,all_requested,256,raw,7,57,2.734375,22.265625,False,machine_terminal,,254,252,,8,58,,3,30
K4,september7_completed_snapshot,/development[method=K4] / tau800,september_fixed_development256_commonR,all_requested,256,tau800,19,126,7.421875,49.21875,False,machine_terminal,,254,217,,28,160,,9,53
K8,september7_completed_snapshot,/development[method=K8] / raw,september_fixed_development256_commonR,all_requested,256,raw,11,66,4.296875,25.78125,False,machine_terminal,,252,250,,12,67,,4,30
K8,september7_completed_snapshot,/development[method=K8] / tau800,september_fixed_development256_commonR,all_requested,256,tau800,17,123,6.640625,48.046875,False,machine_terminal,,252,214,,24,157,,8,47
V2 repair,september7_completed_snapshot,/development[method=V2 repair] / raw,september_fixed_development256_commonR,all_requested,256,raw,8,50,3.125,19.53125,False,machine_terminal,,256,251,,11,54,,2,18
V2 repair,september7_completed_snapshot,/development[method=V2 repair] / tau800,september_fixed_development256_commonR,all_requested,256,tau800,16,113,6.25,44.140625,False,machine_terminal,,256,217,,25,148,,9,47
V3 G,september7_completed_snapshot,/development[method=V3 G] / raw,september_fixed_development256_commonR,all_requested,256,raw,9,61,3.515625,23.828125,False,machine_terminal,,256,256,,9,61,,6,28
V3 G,september7_completed_snapshot,/development[method=V3 G] / tau800,september_fixed_development256_commonR,all_requested,256,tau800,13,116,5.078125,45.3125,False,machine_terminal,,256,224,,20,143,,6,47
V2 construction,september7_completed_snapshot,/development[method=V2 construction] / raw,september_fixed_development256_commonR,all_requested,256,raw,12,44,4.6875,17.1875,False,machine_terminal,,256,251,,14,48,,4,21
V2 construction,september7_completed_snapshot,/development[method=V2 construction] / tau800,september_fixed_development256_commonR,all_requested,256,tau800,17,120,6.640625,46.875,False,machine_terminal,,256,222,,25,151,,5,41
V3 T construction,september7_completed_snapshot,/development[method=V3 T construction] / raw,september_fixed_development256_commonR,all_requested,256,raw,13,53,5.078125,20.703125,False,machine_terminal,,256,250,,16,58,,6,25
V3 T construction,september7_completed_snapshot,/development[method=V3 T construction] / tau800,september_fixed_development256_commonR,all_requested,256,tau800,17,111,6.640625,43.359375,False,machine_terminal,,256,219,,26,144,,9,45
K4 short-contact v1 (eval_40074),september7_completed_snapshot,/development[method=K4 short-contact v1 (eval_40074)] / raw,september_fixed_development256_commonR,all_requested,256,raw,6,56,2.34375,21.875,False,machine_terminal,,253,251,,7,57,,2,29
K4 short-contact v1 (eval_40074),september7_completed_snapshot,/development[method=K4 short-contact v1 (eval_40074)] / tau800,september_fixed_development256_commonR,all_requested,256,tau800,20,122,7.8125,47.65625,False,machine_terminal,,253,216,,28,155,,9,49
K8 short-contact v1 (eval_40074),september7_completed_snapshot,/development[method=K8 short-contact v1 (eval_40074)] / raw,september_fixed_development256_commonR,all_requested,256,raw,11,68,4.296875,26.5625,False,machine_terminal,,252,250,,12,69,,4,34
K8 short-contact v1 (eval_40074),september7_completed_snapshot,/development[method=K8 short-contact v1 (eval_40074)] / tau800,september_fixed_development256_commonR,all_requested,256,tau800,15,123,5.859375,48.046875,False,machine_terminal,,252,215,,22,157,,10,50
K4/K8 equal probability mixture (eval_40076),september7_completed_snapshot,/development[method=K4/K8 equal probability mixture (eval_40076)] / raw,september_fixed_development256_commonR,all_requested,256,raw,10,51,3.90625,19.921875,False,machine_terminal,,255,253,,11,52,,3,29
K4/K8 equal probability mixture (eval_40076),september7_completed_snapshot,/development[method=K4/K8 equal probability mixture (eval_40076)] / tau800,september_fixed_development256_commonR,all_requested,256,tau800,18,118,7.03125,46.09375,False,machine_terminal,,255,218,,26,151,,8,50
K4 construction only (eval_40083),september7_completed_snapshot,/development[method=K4 construction only (eval_40083)] / raw,september_fixed_development256_commonR,all_requested,256,raw,5,48,1.953125,18.75,False,machine_terminal,,254,253,,6,49,,2,20
K4 construction only (eval_40083),september7_completed_snapshot,/development[method=K4 construction only (eval_40083)] / tau800,september_fixed_development256_commonR,all_requested,256,tau800,15,126,5.859375,49.21875,False,machine_terminal,,254,221,,23,156,,6,49
K8 construction only (eval_40083),september7_completed_snapshot,/development[method=K8 construction only (eval_40083)] / raw,september_fixed_development256_commonR,all_requested,256,raw,5,54,1.953125,21.09375,False,machine_terminal,,252,251,,6,55,,2,24
K8 construction only (eval_40083),september7_completed_snapshot,/development[method=K8 construction only (eval_40083)] / tau800,september_fixed_development256_commonR,all_requested,256,tau800,16,119,6.25,46.484375,False,machine_terminal,,252,213,,23,153,,9,48
K4 cooperative endpoint (eval_40088),september7_completed_snapshot,/development[method=K4 cooperative endpoint (eval_40088)] / raw,september_fixed_development256_commonR,all_requested,256,raw,8,48,3.125,18.75,False,machine_terminal,,254,252,,9,50,,3,27
K4 cooperative endpoint (eval_40088),september7_completed_snapshot,/development[method=K4 cooperative endpoint (eval_40088)] / tau800,september_fixed_development256_commonR,all_requested,256,tau800,18,114,7.03125,44.53125,False,machine_terminal,,254,216,,25,148,,10,44
K8 cooperative endpoint (eval_40088),september7_completed_snapshot,/development[method=K8 cooperative endpoint (eval_40088)] / raw,september_fixed_development256_commonR,all_requested,256,raw,10,57,3.90625,22.265625,False,machine_terminal,,252,251,,11,58,,2,30
K8 cooperative endpoint (eval_40088),september7_completed_snapshot,/development[method=K8 cooperative endpoint (eval_40088)] / tau800,september_fixed_development256_commonR,all_requested,256,tau800,15,122,5.859375,47.65625,False,machine_terminal,,252,216,,22,154,,9,49
K8 independent 1000,september7_completed_snapshot,/independent_original_k8[requests=1000] / raw,september_independent1200,parser_only_prefix1000,1000,raw,39,244,3.9,24.4,False,machine_terminal,"Same underlying1200 generation; prefix1000 is a reporting view, not another cohort.",,,,,,,,
K8 independent 1000,september7_completed_snapshot,/independent_original_k8[requests=1000] / tau800,september_independent1200,parser_only_prefix1000,1000,tau800,65,484,6.5,48.4,False,machine_terminal,"Same underlying1200 generation; prefix1000 is a reporting view, not another cohort.",,,,,,,,
K8 independent 1200,september7_completed_snapshot,/independent_original_k8[requests=1200] / raw,september_independent1200,all_requested,1200,raw,47,285,3.9166666666666665,23.75,False,machine_terminal,"Same underlying1200 generation; prefix1000 is a reporting view, not another cohort.",,,,,,,,
K8 independent 1200,september7_completed_snapshot,/independent_original_k8[requests=1200] / tau800,september_independent1200,all_requested,1200,tau800,79,570,6.583333333333333,47.5,False,machine_terminal,"Same underlying1200 generation; prefix1000 is a reporting view, not another cohort.",,,,,,,,
